"Source:","D:\projects\2019\phuonghai\Layout_Schematic_Design\ph_door_fume_hood_controller_hw\ph_door_fume_hood_controller_hw.sch"
"Date:","17/01/2020 13:46:32"
"Tool:","Eeschema (5.1.2)-2"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","247"
"Components","Quantity","Value","NameCode","Footprint","Description","Link"
"BT1, ","1","3V3","Battery_Cell-master-node-rescue","VinhTho_Lib:BT3V3","",""
"C2, C3, ","2","4.7uF","C-master-node-rescue","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","",""
"C5, ","1","470uF/50V","CP1-master-node-rescue","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","",""
"C6, C9, ","2","4.7nF","C-master-node-rescue","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"C13, ","1","10uF","C-master-node-rescue","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","",""
"C14, C31, C28, C26, ","4","1uF","C-master-node-rescue","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"C16, ","1","C","C-master-node-rescue","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"C18, ","1","1.5uF","C-master-node-rescue","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"C21, C23, C24, C25, ","4","22pF","C-master-node-rescue","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"C27, ","1","330uF/25V","CP1-master-node-rescue","Capacitor_SMD:CP_Elec_8x10.5","",""
"C30, ","1","10uF/25V","C-master-node-rescue","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","",""
"C32, ","1","470uF/50V","CP1-master-node-rescue","Capacitor_SMD:CP_Elec_10x14.3","",""
"C34, ","1","100uF/16V","CP1-master-node-rescue","Capacitor_SMD:CP_Elec_6.3x5.4","",""
"C39, ","1","100uF/25V","CP1-master-node-rescue","Capacitor_Tantalum_SMD:CP_EIA-7343-20_Kemet-V_Pad2.25x2.55mm_HandSolder","",""
"C40, C17, C19, C22, C11, C12, C36, C4, C15, C20, C7, C8, C1, C29, C33, C43, C38, C48, C50, C52, C47, C49, C51, C42, C37, C45, C46, C35, C10, ","29","100nF","C-master-node-rescue","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"C41, ","1","100uF/10V","CP1-master-node-rescue","Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder","",""
"C44, ","1","100uF/50V","CP1-master-node-rescue","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder","",""
"D3, ","1","1N4148","1N4148-Diode-ph_door_fume_hood_controller_hw-rescue","Diode_SMD:D_SOD-323_HandSoldering","",""
"D7, D9, D10, D16, D22, D30, ","6","D_ALT","D_ALT-Device-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:D_SMA_Standard","",""
"D8, D4, D2, D1, D14, D5, D6, ","7","LED","LED-master-node-rescue","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"D11, ","1","TVS","TVS-nhantt-kicad-lib-stm32_st7920_lcd_hw-rescue","VinhTho_Lib:D_SMA_Standard","",""
"D12, D18, D24, D33, ","4","10V","D_Zener_ALT-Device-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:SOD-80","",""
"D13, ","1","D_ALT","D_ALT-master-node-rescue","VinhTho_Lib:D_SOD-323F","",""
"D15, ","1","D","D-Device-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:D_SOD-323F","",""
"D20, D28, D32, D19, D27, D31, D17, ","7","D_Zener_ALT","D_Zener_ALT-Device-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:SOD-80","",""
"D25, D21, D23, ","3","D_TVS","D_TVS-Device-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:D_SMA_Standard","",""
"D26, ","1","SS54","D_Schottky-Device-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:D_SMA_Standard","",""
"D29, ","1","12V","D_Zener_ALT-Device-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:SOD-80","",""
"F1, ","1","Fuse","Fuse-Device-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:Fuseholder5x20_horiz_SemiClosed_Casing10x25mm","",""
"F5, F6, F2, F3, F4, F7, ","6","Fuse","Fuse-Device-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:Fuse_SMD1812","",""
"IC1, ","1","6N137","6N137-nhantt-kicad-lib-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:Diodes_PSOP-8","",""
"IC2, ","1","6N137","6N137-nhantt-kicad-lib-ph_door_fume_hood_controller_hw-rescue","ph_kicad_lib:SMDIP-8_W9.53mm","",""
"J2, ","1","Conn_01x04","Conn_01x04-Connector_Generic-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:TerminalBlock_WAGO-236_2Stift_R5mm_4pol","",""
"J3, ","1","CONN_01X04","CONN_01X04-master-node-rescue","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","",""
"J4, J1, ","2","Conn_01x03","Conn_01x03-Connector_Generic-ph_door_fume_hood_controller_hw-rescue","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","",""
"J5, ","1","Conn_01x04","Conn_01x04-Connector_Generic-ph_door_fume_hood_controller_hw-rescue","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","",""
"J6, ","1","Conn_01x02","Conn_01x02-Connector_Generic-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:TerminalBlock_WAGO-236_2Stift_R5mm_2pol","",""
"J8, ","1","USB_OTG","USB_OTG-master-node-rescue","VinhTho_Lib:USB_Micro-B","",""
"J9, ","1","Conn_01x02","Conn_01x02-Connector_Generic-ph_door_fume_hood_controller_hw-rescue","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","",""
"J10, J14, J15, ","3","Conn_01x03","Conn_01x03-Connector_Generic-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:TerminalBlock_WAGO_2.54mm_3P","",""
"J11, J13, ","2","Conn_01x02","Conn_01x02-Connector_Generic-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:TerminalBlock_WAGO_2.54mm_2P","",""
"J12, J7, ","2","Conn_01x06","Conn_01x06-Connector_Generic-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:TerminalBlock_WAGO_2.54mm_6P","",""
"L1, ","1","L_Small","L_Small-master-node-rescue","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"L2, ","1","180uH/5A","L_Core_Ferrite-Device-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:Inductor_5A","",""
"LS1, ","1","Speaker","Speaker-Device-ph_door_fume_hood_controller_hw-rescue","Buzzer_Beeper:Buzzer_15x7.5RM7.6","",""
"M1, ","1","DC-DC-24-12V-200mA","DC-DC-24-5V-200mA-nhantt-kicad-lib-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:MORNSUN-A2412S-2W","",""
"M2, ","1","MORSUN_485","MORSUN_485-nhantt-kicad-lib-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:MORSUN_485","",""
"Q2, ","1","Q_PMOS_GDS","Q_PMOS_GDS-Device-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:TO-252-2","",""
"Q3, Q4, Q6, Q7, Q11, Q9, ","6","Q_NMOS_GSD","Q_NMOS_GSD-Device-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:SOT-23","",""
"Q5, Q1, Q8, ","3","C1815","C1815-master-node-rescue","VinhTho_Lib:SOT-23","",""
"Q10, ","1","A1015","A1015-nhantt-kicad-lib-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:SOT-23","",""
"R7, R11, R3, R6, R48, R63, R76, R90, R12, R8, R9, R45, ","12","1k","R-master-node-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R14, R27, R37, R20, R88, ","5","100R","R-master-node-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R18, R19, ","2","51R","R-Device-ph_door_fume_hood_controller_hw-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R26, ","1","124k","R-Device-ph_door_fume_hood_controller_hw-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R28, R29, R30, R39, R40, R41, ","6","0.62R","R-master-node-rescue","Resistor_SMD:R_2512_6332Metric_Pad1.52x3.35mm_HandSolder","",""
"R33, R58, R68, ","3","R","R-master-node-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R36, ","1","1M","R-master-node-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R38, ","1","15k","R-master-node-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R42, R4, ","2","0R","R-Device-ph_door_fume_hood_controller_hw-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R43, ","1","51k","R-master-node-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R44, R35, R31, R34, R15, R21, R16, R17, R23, R10, R24, R32, R72, R83, R92, R70, R81, R91, R62, R46, R51, R61, R67, R75, R80, R89, R96, R2, R13, R82, R79, R87, R69, R22, ","34","10k","R-master-node-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R47, ","1","13k","R-master-node-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R50, R65, R77, R93, ","4","10R","R-Device-ph_door_fume_hood_controller_hw-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R53, R52, ","2","4.7k","R-master-node-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R54, R49, ","2","1.5k","R-master-node-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R55, R57, ","2","22R","R-master-node-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R60, R59, ","2","100R/2512","R_US-Device-ph_door_fume_hood_controller_hw-rescue","Resistor_SMD:R_2512_6332Metric_Pad1.52x3.35mm_HandSolder","",""
"R64, R74, R85, R95, R73, R84, R94, R66, R56, R1, R86, ","11","2.2k","R-master-node-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R71, ","1","33k","R-master-node-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"R78, ","1","120R","R-Device-ph_door_fume_hood_controller_hw-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","",""
"RN1, ","1","R_Pack04","R_Pack04-Device-ph_door_fume_hood_controller_hw-rescue","Resistor_SMD:R_Array_Convex_4x0603","",""
"RV1, ","1","20k","POT-PH_LIB-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:VR-3362P","",""
"U1, ","1","74HC123","74HC123-74xx-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:SOIC-16W_5.3x10.2mm_Pitch1.27mm","",""
"U2, ","1","AD8601","AD8601-nhantt-kicad-lib-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:SOT-23-5","",""
"U4, U6, U17, U20, U16, U19, U22, U14, U10, U13, U18, U21, U3, U23, ","14","PC817","PC817-Isolator-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:Optocoupler_SMD","",""
"U5, ","1","TB6600","TB6600-nhantt-kicad-lib-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:TB6600","",""
"U7, ","1","STM32F103C8","STM32F103C8-master-node-rescue","VinhTho_Lib:LQFP-48_7x7mm_Pitch0.5mm","",""
"U8, ","1","ASM1117","ASM1117-master-node-rescue","VinhTho_Lib:SOT-223","",""
"U9, ","1","XL4015","XL4015-nhantt-kicad-lib-ph_door_fume_hood_controller_hw-rescue","Package_TO_SOT_SMD:TO-263-5_TabPin3","",""
"U11, ","1","MCP4725","MCP4725-nhantt-kicad-lib-ph_door_fume_hood_controller_hw-rescue","VinhTho_Lib:SOT-23-6_Handsoldering","",""
"U12, ","1","ASM1117-3V3","ASM1117-master-node-rescue","VinhTho_Lib:SOT-223","",""
"U15, ","1","LM358","LM358-Amplifier_Operational-ph_door_fume_hood_controller_hw-rescue","Package_SO:SOP-8_3.76x4.96mm_P1.27mm","",""
"Y1, ","1","Crystal","Crystal-master-node-rescue","VinhTho_Lib:Crystal_SMD_HC49-SD","",""
"Y2, ","1","32768Mhz","Crystal-master-node-rescue","VinhTho_Lib:Crystal_Round_Horizontal_3mm_smd","",""
